DrugBankID	index
DB01419	0
DB00953	1
DB08807	2
DB00952	3
DB01411	4
DB01410	5
DB06637	6
DB01412	7
DB00898	8
DB06800	9
DB00899	10
DB08906	11
DB00568	12
DB06216	13
DB00957	14
DB04573	15
DB00906	16
DB00956	17
DB01406	18
DB01099	19
DB00771	20
DB01620	21
DB01065	22
DB01095	23
DB01094	24
DB01097	25
DB00770	26
DB01091	27
DB01090	28
DB01092	29
DB08801	30
DB01259	31
DB01255	32
DB01254	33
DB01253	34
DB00890	35
DB01251	36
DB01250	37
DB00964	38
DB01076	39
DB01075	40
DB01074	41
DB01073	42
DB01071	43
DB01070	44
DB01176	45
DB00896	46
DB01174	47
DB01175	48
DB01173	49
DB01170	50
DB00897	51
DB00894	52
DB01109	53
DB01233	54
DB00895	55
DB05013	56
DB00470	57
DB00471	58
DB00472	59
DB00473	60
DB00474	61
DB00476	62
DB00477	63
DB01656	64
DB06196	65
DB00579	66
DB01003	67
DB01001	68
DB01006	69
DB01007	70
DB01005	71
DB00571	72
DB00570	73
DB00573	74
DB00572	75
DB00575	76
DB00751	77
DB00619	78
DB00753	79
DB00752	80
DB00755	81
DB00754	82
DB00209	83
DB00208	84
DB00610	85
DB00206	86
DB00205	87
DB00204	88
DB00203	89
DB00202	90
DB00201	91
DB00200	92
DB00924	93
DB08918	94
DB01614	95
DB08881	96
DB08882	97
DB01613	98
DB08802	99
DB01612	100
DB00683	101
DB00682	102
DB00680	103
DB00687	104
DB00686	105
DB00685	106
DB06712	107
DB00688	108
DB00373	109
DB00341	110
DB00278	111
DB00279	112
DB00377	113
DB00376	114
DB00374	115
DB00272	116
DB00273	117
DB00270	118
DB00378	119
DB00276	120
DB00277	121
DB00275	122
DB00104	123
DB01407	124
DB00745	125
DB06711	126
DB01351	127
DB00966	128
DB00922	129
DB00967	130
DB00294	131
DB00295	132
DB00296	133
DB00297	134
DB00290	135
DB00740	136
DB00292	137
DB00293	138
DB01615	139
DB00741	140
DB00298	141
DB01098	142
DB00884	143
DB05389	144
DB01586	145
DB06738	146
DB00198	147
DB08896	148
DB00195	149
DB01452	150
DB00193	151
DB00192	152
DB00191	153
DB00190	154
DB01288	155
DB01289	156
DB01146	157
DB00920	158
DB01282	159
DB01283	160
DB04840	161
DB06287	162
DB06698	163
DB06699	164
DB01143	165
DB06694	166
DB06695	167
DB06288	168
DB06716	169
DB00822	170
DB00996	171
DB00995	172
DB01210	173
DB00993	174
DB00992	175
DB00858	176
DB00990	177
DB00750	178
DB00857	179
DB00854	180
DB00855	181
DB00852	182
DB00700	183
DB00850	184
DB00851	185
DB00324	186
DB00325	187
DB06213	188
DB00881	189
DB00707	190
DB01039	191
DB00327	192
DB01033	193
DB00320	194
DB01031	195
DB01030	196
DB01037	197
DB00972	198
DB01035	199
DB01034	200
DB01611	201
DB00322	202
DB01349	203
DB00880	204
DB00323	205
DB01202	206
DB01348	207
DB00539	208
DB01260	209
DB00637	210
DB00535	211
DB00534	212
DB00537	213
DB00536	214
DB00530	215
DB01252	216
DB06701	217
DB01327	218
DB01325	219
DB01324	220
DB01320	221
DB01077	222
DB01107	223
DB01144	224
DB00328	225
DB01142	226
DB00498	227
DB00499	228
DB00496	229
DB00497	230
DB00494	231
DB00495	232
DB00492	233
DB00321	234
DB00490	235
DB00491	236
DB06267	237
DB05039	238
DB00978	239
DB01178	240
DB06775	241
DB01179	242
DB08799	243
DB06262	244
DB00409	245
DB00408	246
DB01130	247
DB01131	248
DB01136	249
DB00035	250
DB00612	251
DB01135	252
DB00401	253
DB00400	254
DB00403	255
DB00402	256
DB00405	257
DB00407	258
DB00148	259
DB00149	260
DB00663	261
DB00925	262
DB00665	263
DB05271	264
DB00667	265
DB00666	266
DB00140	267
DB00141	268
DB00887	269
DB00143	270
DB00144	271
DB00145	272
DB00146	273
DB00147	274
DB00391	275
DB00390	276
DB00393	277
DB00392	278
DB00394	279
DB00397	280
DB00396	281
DB00399	282
DB00398	283
DB08893	284
DB01078	285
DB01238	286
DB05630	287
DB01108	288
DB06777	289
DB01128	290
DB00243	291
DB00242	292
DB00241	293
DB00240	294
DB00247	295
DB00246	296
DB00245	297
DB00244	298
DB00928	299
DB00759	300
DB00248	301
DB00719	302
DB01425	303
DB01236	304
DB00370	305
DB01628	306
DB01231	307
DB01401	308
DB01011	309
DB00812	310
DB00813	311
DB00810	312
DB00811	313
DB00816	314
DB01088	315
DB00814	316
DB08936	317
DB00758	318
DB06209	319
DB00818	320
DB00819	321
DB01356	322
DB01069	323
DB01132	324
DB04946	325
DB04868	326
DB04942	327
DB01133	328
DB04861	329
DB04948	330
DB01010	331
DB04865	332
DB01209	333
DB06766	334
DB06268	335
DB06589	336
DB00977	337
DB06204	338
DB00963	339
DB04837	340
DB06207	341
DB01280	342
DB01137	343
DB01619	344
DB01626	345
DB05812	346
DB00929	347
DB08897	348
DB06203	349
DB01420	350
DB01138	351
DB01032	352
DB00867	353
DB00866	354
DB00865	355
DB00864	356
DB00863	357
DB00862	358
DB00861	359
DB00860	360
DB01083	361
DB01080	362
DB01081	363
DB01086	364
DB01087	365
DB00869	366
DB00868	367
DB01248	368
DB01244	369
DB01245	370
DB01246	371
DB01247	372
DB01240	373
DB01241	374
DB01242	375
DB01064	376
DB00661	377
DB00599	378
DB00598	379
DB08808	380
DB01062	381
DB00927	382
DB00593	383
DB00592	384
DB00591	385
DB00590	386
DB01068	387
DB00596	388
DB01105	389
DB00594	390
DB06335	391
DB02300	392
DB00889	393
DB01106	394
DB01625	395
DB01207	396
DB01002	397
DB00564	398
DB00565	399
DB00449	400
DB00448	401
DB00561	402
DB00445	403
DB00444	404
DB00446	405
DB00441	406
DB00440	407
DB00443	408
DB00569	409
DB00720	410
DB00669	411
DB06710	412
DB01403	413
DB01400	414
DB00668	415
DB01567	416
DB01100	417
DB01394	418
DB01408	419
DB01409	420
DB01616	421
DB00968	422
DB00969	423
DB00218	424
DB00219	425
DB00748	426
DB00749	427
DB00214	428
DB00215	429
DB00216	430
DB00217	431
DB00210	432
DB00211	433
DB00212	434
DB00213	435
DB01587	436
DB01558	437
DB08890	438
DB01583	439
DB00883	440
DB08894	441
DB01559	442
DB01623	443
DB01194	444
DB00882	445
DB01589	446
DB01588	447
DB00690	448
DB00691	449
DB00692	450
DB01009	451
DB00694	452
DB00695	453
DB00696	454
DB00697	455
DB00699	456
DB06772	457
DB00360	458
DB00361	459
DB00363	460
DB00364	461
DB06802	462
DB00366	463
DB00367	464
DB00368	465
DB09018	466
DB06809	467
DB00131	468
DB00130	469
DB00133	470
DB00132	471
DB00135	472
DB00134	473
DB08899	474
DB00136	475
DB00139	476
DB00138	477
DB00723	478
DB06201	479
DB06751	480
DB01621	481
DB00918	482
DB00917	483
DB00979	484
DB00915	485
DB00914	486
DB00913	487
DB00912	488
DB08800	489
DB00910	490
DB00757	491
DB00724	492
DB00756	493
DB04880	494
DB00624	495
DB00627	496
DB00626	497
DB00188	498
DB00620	499
DB00623	500
DB00611	501
DB00184	502
DB00185	503
DB00186	504
DB00187	505
DB00180	506
DB00181	507
DB00182	508
DB00183	509
DB08901	510
DB00613	511
DB00725	512
DB01261	513
DB00622	514
DB01208	515
DB00615	516
DB06292	517
DB00616	518
DB00617	519
DB04794	520
DB00984	521
DB00985	522
DB00829	523
DB00987	524
DB00980	525
DB00981	526
DB00982	527
DB00983	528
DB00823	529
DB00629	530
DB00821	531
DB00820	532
DB00988	533
DB00989	534
DB00825	535
DB00628	536
DB06616	537
DB01149	538
DB00991	539
DB06594	540
DB06725	541
DB01084	542
DB01028	543
DB00728	544
DB01382	545
DB01384	546
DB00729	547
DB01020	548
DB01021	549
DB01022	550
DB01023	551
DB01024	552
DB01025	553
DB01026	554
DB01213	555
DB01148	556
DB01177	557
DB00484	558
DB00715	559
DB00528	560
DB00714	561
DB00523	562
DB00521	563
DB00527	564
DB00524	565
DB06691	566
DB00337	567
DB00716	568
DB01338	569
DB01339	570
DB00621	571
DB00711	572
DB01336	573
DB01337	574
DB00722	575
DB00710	576
DB01154	577
DB00318	578
DB01156	579
DB00091	580
DB01151	581
DB01618	582
DB00659	583
DB00310	584
DB00313	585
DB00312	586
DB00315	587
DB01159	588
DB00317	589
DB00316	590
DB08822	591
DB00726	592
DB08932	593
DB00712	594
DB01375	595
DB06714	596
DB00412	597
DB00413	598
DB06707	599
DB00411	600
DB00795	601
DB00794	602
DB00797	603
DB00796	604
DB00790	605
DB00418	606
DB00419	607
DB00559	608
DB00558	609
DB00557	610
DB00555	611
DB00554	612
DB00552	613
DB00551	614
DB00550	615
DB00777	616
DB00776	617
DB00775	618
DB00774	619
DB00773	620
DB00772	621
DB00678	622
DB00679	623
DB00892	624
DB00677	625
DB00674	626
DB00675	627
DB00672	628
DB00673	629
DB00670	630
DB00778	631
DB08820	632
DB00388	633
DB00389	634
DB00387	635
DB00384	636
DB00385	637
DB00383	638
DB00380	639
DB00381	640
DB08877	641
DB04786	642
DB00371	643
DB08827	644
DB00703	645
DB00252	646
DB00253	647
DB00706	648
DB00255	649
DB00704	650
DB00257	651
DB00708	652
DB01200	653
DB01215	654
DB04835	655
DB06155	656
DB01171	657
DB06151	658
DB00986	659
DB04841	660
DB01203	661
DB01204	662
DB00379	663
DB01205	664
DB04878	665
DB05294	666
DB01206	667
DB01189	668
DB04876	669
DB04877	670
DB00175	671
DB00174	672
DB00177	673
DB00176	674
DB00171	675
DB00170	676
DB00173	677
DB00172	678
DB00179	679
DB00178	680
DB01118	681
DB01050	682
DB04838	683
DB06439	684
DB01435	685
DB04839	686
DB08819	687
DB01357	688
DB00824	689
DB00950	690
DB01370	691
DB00875	692
DB00876	693
DB00877	694
DB00870	695
DB00871	696
DB00872	697
DB00873	698
DB06237	699
DB04842	700
DB00717	701
DB01354	702
DB06795	703
DB01273	704
DB01275	705
DB01274	706
DB08811	707
DB01120	708
DB00588	709
DB00589	710
DB01113	711
DB01055	712
DB01054	713
DB01057	714
DB01056	715
DB01059	716
DB01114	717
DB01433	718
DB00583	719
DB00584	720
DB00585	721
DB00586	722
DB00587	723
DB01355	724
DB01116	725
DB00343	726
DB01117	727
DB00340	728
DB01580	729
DB00513	730
DB01182	731
DB00458	732
DB00459	733
DB00517	734
DB01186	735
DB01185	736
DB00514	737
DB00452	738
DB01129	739
DB00450	740
DB00518	741
DB00457	742
DB00454	743
DB00347	744
DB00788	745
DB00344	746
DB01576	747
DB00780	748
DB00228	749
DB00738	750
DB01426	751
DB01431	752
DB01029	753
DB00221	754
DB00732	755
DB00223	756
DB00222	757
DB00737	758
DB00656	759
DB00227	760
DB00226	761
DB01594	762
DB01595	763
DB00657	764
DB01590	765
DB01591	766
DB08868	767
DB08865	768
DB08864	769
DB01599	770
DB08860	771
DB02638	772
DB01430	773
DB01014	774
DB05246	775
DB01438	776
DB01437	777
DB00975	778
DB00358	779
DB00050	780
DB00428	781
DB00427	782
DB00354	783
DB00425	784
DB00424	785
DB00423	786
DB00422	787
DB00421	788
DB00420	789
DB00647	790
DB01183	791
DB00645	792
DB00644	793
DB00643	794
DB00642	795
DB00128	796
DB00129	797
DB00126	798
DB00127	799
DB06210	800
DB00125	801
DB00122	802
DB00123	803
DB00120	804
DB00121	805
DB06623	806
DB01180	807
DB00908	808
DB00909	809
DB00904	810
DB00905	811
DB00731	812
DB00907	813
DB00900	814
DB04938	815
DB00902	816
DB00903	817
DB01019	818
DB01184	819
DB01018	820
DB00633	821
DB00630	822
DB00631	823
DB00636	824
DB00542	825
DB00635	826
DB00519	827
DB04843	828
DB00940	829
DB00451	830
DB01622	831
DB00941	832
DB03147	833
DB08916	834
DB08889	835
DB08912	836
DB08911	837
DB08910	838
DB08810	839
DB01427	840
DB00455	841
DB00921	842
DB00945	843
DB00838	844
DB00839	845
DB01239	846
DB00946	847
DB00830	848
DB00831	849
DB01237	850
DB00947	851
DB00834	852
DB00835	853
DB00836	854
DB00837	855
DB06663	856
DB01579	857
DB00736	858
DB06148	859
DB00949	860
DB01192	861
DB08804	862
DB02546	863
DB04855	864
DB01429	865
DB01398	866
DB01399	867
DB01396	868
DB01397	869
DB01119	870
DB01395	871
DB01392	872
DB01393	873
DB01422	874
DB00769	875
DB08816	876
DB02187	877
DB01577	878
DB01303	879
DB01161	880
DB01160	881
DB01162	882
DB01165	883
DB01167	884
DB01166	885
DB01169	886
DB00960	887
DB05260	888
DB08828	889
DB05266	890
DB05265	891
DB04894	892
DB01380	893
DB01600	894
DB06700	895
DB00462	896
DB00461	897
DB00789	898
DB00467	899
DB00465	900
DB00464	901
DB00782	902
DB00783	903
DB00469	904
DB00468	905
DB00786	906
DB00784	907
DB00733	908
DB01017	909
DB01016	910
DB00548	911
DB00549	912
DB01013	913
DB01012	914
DB00544	915
DB00545	916
DB00546	917
DB00547	918
DB00540	919
DB00541	920
DB00014	921
DB00543	922
DB00764	923
DB00765	924
DB00942	925
DB00608	926
DB00944	927
DB00761	928
DB00762	929
DB00763	930
DB00603	931
DB00602	932
DB00600	933
DB00768	934
DB00606	935
DB00605	936
DB00604	937
DB01089	938
DB00735	939
DB06702	940
DB01367	941
DB09016	942
DB00734	943
DB01440	944
DB01366	945
DB01544	946
DB01364	947
DB01198	948
DB00306	949
DB00307	950
DB00304	951
DB01597	952
DB00302	953
DB00268	954
DB00264	955
DB00266	956
DB00261	957
DB01188	958
DB00308	959
DB00262	960
DB00117	961
DB00116	962
DB00115	963
DB00093	964
DB04890	965
DB06228	966
DB01199	967
DB00119	968
DB00118	969
DB00287	970
DB00286	971
DB00285	972
DB00284	973
DB00283	974
DB00282	975
DB00281	976
DB00280	977
DB01085	978
DB01110	979
DB00289	980
DB00288	981
DB01418	982
DB00511	983
DB00973	984
DB00162	985
DB00163	986
DB00160	987
DB00161	988
DB00166	989
DB00167	990
DB06706	991
DB00165	992
DB06709	993
DB00168	994
DB00169	995
DB04896	996
DB00997	997
DB01346	998
DB01158	999
DB01291	1000
DB01297	1001
DB01296	1002
DB01295	1003
DB01191	1004
DB04574	1005
DB01359	1006
DB06684	1007
DB06689	1008
DB01217	1009
DB01216	1010
DB00841	1011
DB01267	1012
DB00843	1013
DB00842	1014
DB01262	1015
DB00844	1016
DB00847	1017
DB00846	1018
DB00849	1019
DB01347	1020
DB01214	1021
DB06218	1022
DB01340	1023
DB01268	1024
DB01342	1025
DB01352	1026
DB08907	1027
DB01353	1028
DB00309	1029
DB01219	1030
DB04898	1031
DB06605	1032
DB01218	1033
DB01049	1034
DB01046	1035
DB01047	1036
DB00959	1037
DB01045	1038
DB01043	1039
DB01041	1040
DB08996	1041
DB00338	1042
DB01067	1043
DB00999	1044
DB08815	1045
DB09014	1046
DB00998	1047
DB00500	1048
DB00501	1049
DB00502	1050
DB01193	1051
DB00504	1052
DB01195	1053
DB01196	1054
DB01197	1055
DB00508	1056
DB00509	1057
DB01063	1058
DB01103	1059
DB01115	1060
DB01463	1061
DB01466	1062
DB01102	1063
DB01101	1064
DB00481	1065
DB00480	1066
DB00483	1067
DB00482	1068
DB00429	1069
DB00487	1070
DB00486	1071
DB00489	1072
DB00721	1073
DB00335	1074
DB00334	1075
DB00333	1076
DB00332	1077
DB00331	1078
DB00727	1079
DB06144	1080
DB06781	1081
DB00799	1082
DB01104	1083
DB00357	1084
DB00798	1085
DB04845	1086
DB00356	1087
DB04575	1088
DB04844	1089
DB00351	1090
DB08806	1091
DB00350	1092
DB01125	1093
DB01124	1094
DB00348	1095
DB01126	1096
DB01121	1097
DB00353	1098
DB01123	1099
DB01122	1100
DB00434	1101
DB00435	1102
DB00436	1103
DB00437	1104
DB00346	1105
DB00431	1106
DB00432	1107
DB00433	1108
DB00654	1109
DB00655	1110
DB00159	1111
DB00158	1112
DB00650	1113
DB00651	1114
DB00652	1115
DB00653	1116
DB00153	1117
DB00152	1118
DB00151	1119
DB00150	1120
DB00962	1121
DB00156	1122
DB00155	1123
DB00154	1124
DB00939	1125
DB00938	1126
DB04920	1127
DB01608	1128
DB04552	1129
DB00933	1130
DB00792	1131
DB00935	1132
DB00934	1133
DB00937	1134
DB00936	1135
DB06212	1136
DB01235	1137
DB01436	1138
DB00641	1139
DB00747	1140
DB00640	1141
DB00237	1142
DB00234	1143
DB00235	1144
DB00232	1145
DB00233	1146
DB00230	1147
DB00231	1148
DB01157	1149
DB01234	1150
DB00744	1151
DB06713	1152
DB01036	1153
DB00805	1154
DB00804	1155
DB00807	1156
DB00806	1157
DB00801	1158
DB00800	1159
DB00802	1160
DB06274	1161
DB00562	1162
DB00648	1163
DB00809	1164
DB00808	1165
DB06813	1166
DB00563	1167
DB01228	1168
DB01229	1169
DB04953	1170
DB00961	1171
DB01222	1172
DB01223	1173
DB01220	1174
DB01221	1175
DB01226	1176
DB01227	1177
DB01224	1178
DB04967	1179
DB04930	1180
DB00958	1181
DB00853	1182
DB00404	1183
DB00515	1184
DB00475	1185
