UniprotID	index
Q96I99	0
P31749	1
P30613	2
P31213	3
P34995	4
P40225	5
P45844	6
P33527	7
P16435	8
P06400	9
O95255	10
Q07699	11
P49788	12
Q969I3	13
P78348	14
O00519	15
Q7L266	16
P10275	17
P10276	18
Q9Y2U5	19
Q9UJ70	20
P20618	21
O76024	22
P09172	23
O00408	24
P20813	25
P39023	26
P35240	27
P01127	28
P0DMS8	29
Q9UK17	30
Q99884	31
P01019	32
Q99643	33
P19099	34
O75891	35
P53708	36
P04035	37
O75899	38
Q9BXA5	39
P23229	40
Q9P0X4	41
O60760	42
P62714	43
Q05901	44
Q9BY49	45
P17735	46
Q05586	47
O94903	48
P41212	49
Q13126	50
O43246	51
Q9NRF9	52
P04114	53
P41968	54
Q96Q83	55
Q9HCR9	56
P54098	57
Q16850	58
Q16853	59
P99999	60
Q9HAB3	61
P04629	62
P26640	63
Q99460	64
Q4U2R8	65
Q14032	66
Q14749	67
P10914	68
P10912	69
O14788	70
P23743	71
Q8N726	72
P12643	73
P16083	74
Q99519	75
P54368	76
P15692	77
P11511	78
P49773	79
P40306	80
O15527	81
O15520	82
Q02127	83
Q6XZB0	84
O15528	85
Q16678	86
Q16671	87
Q9NXA8	88
Q03181	89
P10644	90
P45877	91
P40238	92
P51460	93
P07098	94
O95749	95
P37231	96
P69905	97
P30518	98
Q9BZV2	99
P51608	100
Q06609	101
Q9H6Z9	102
Q96NR8	103
Q96GX5	104
P03886	105
Q15831	106
Q01814	107
P49792	108
P29274	109
P29275	110
Q9Y2Z4	111
Q6W5P4	112
O76039	113
P78352	114
Q9Y2T1	115
P24347	116
O15217	117
P07478	118
P04278	119
P29474	120
P29475	121
P07477	122
P01138	123
Q8IY17	124
P01130	125
P01133	126
Q92733	127
P08631	128
Q9UGM6	129
P01137	130
P43026	131
O60603	132
P00533	133
P51843	134
P20132	135
Q08289	136
P08700	137
P01009	138
P01008	139
Q9Y6D9	140
Q9BZD2	141
P43155	142
Q01362	143
Q13002	144
Q9H1R3	145
P35498	146
P09038	147
P23219	148
O60779	149
P35658	150
P27695	151
P00995	152
Q14353	153
Q15198	154
P00441	155
P26367	156
P14174	157
Q13131	158
Q96RD7	159
P06748	160
P10109	161
Q9H221	162
Q99456	163
P04637	164
Q9H228	165
P19447	166
Q99697	167
Q96LZ3	168
Q16515	169
O60391	170
Q13224	171
Q8TCU5	172
Q14003	173
Q8N142	174
P20823	175
P40939	176
Q9HA77	177
Q9NY72	178
O14939	179
P04839	180
O15403	181
Q6TGC4	182
P11509	183
P40337	184
P37088	185
P50416	186
P22570	187
Q12778	188
Q16647	189
O15530	190
O15533	191
Q9NS75	192
O95622	193
P38606	194
P48048	195
Q00975	196
P49327	197
Q16881	198
Q9NPA1	199
P22888	200
Q9UHC9	201
P48549	202
Q96EM0	203
P48547	204
Q9UN76	205
P48544	206
O14756	207
Q01955	208
P47870	209
P16455	210
Q9NUB1	211
P80511	212
Q8NCE2	213
O43526	214
P23975	215
Q9BZW2	216
Q9BZW8	217
Q9Y285	218
P08620	219
Q9Y289	220
O00264	221
Q06124	222
Q13698	223
Q96RJ0	224
P02585	225
P78362	226
P78363	227
O95342	228
P09488	229
O00469	230
O95180	231
P55916	232
Q495M3	233
P29460	234
P45880	235
P29466	236
Q9Y600	237
P28482	238
Q9NSA2	239
P28335	240
Q96SL4	241
Q6ZW49	242
P48507	243
P48506	244
P51857	245
P05230	246
P05231	247
Q9Y4W6	248
P07510	249
O95298	250
O95299	251
P08514	252
O14842	253
P16871	254
P43166	255
P49146	256
P78540	257
O60706	258
P15531	259
P15538	260
P35626	261
Q9H169	262
P21549	263
O75746	264
P68371	265
Q8TC12	266
P23378	267
Q04671	268
P04746	269
P24666	270
P20309	271
Q14654	272
Q9UEF7	273
O43681	274
Q16878	275
Q9H239	276
Q16873	277
P11229	278
P14618	279
Q05655	280
Q5HYA8	281
P19235	282
P20839	283
P33402	284
P33151	285
P23769	286
O14920	287
Q9Y5Q3	288
Q9NYK1	289
Q9ULZ9	290
P23560	291
P11712	292
Q9Y2J8	293
P11717	294
Q9UJT1	295
Q9UJT0	296
Q9NYY8	297
P48051	298
P22352	299
P03372	300
P11150	301
Q9NS85	302
Q9BX63	303
P22891	304
P22894	305
Q15526	306
P49888	307
P23945	308
O14746	309
P16444	310
P22413	311
P23786	312
P50406	313
Q96L73	314
Q9UBN7	315
O60494	316
P31153	317
Q9UBK8	318
P18074	319
P30711	320
P20701	321
Q9Y2D0	322
O00180	323
P13716	324
P14920	325
O76054	326
Q12882	327
P62942	328
Q12887	329
P29034	330
Q5JTZ9	331
O00459	332
O00329	333
O95190	334
P07451	335
Q04844	336
P28329	337
P25815	338
P57059	339
P02647	340
Q9UIC8	341
Q8N1Q1	342
P09238	343
P09237	344
P04350	345
O95999	346
P01023	347
P00519	348
P16219	349
Q9Y257	350
P08729	351
Q99835	352
P78559	353
Q07864	354
P18283	355
Q07869	356
P01112	357
P01111	358
P43007	359
P01116	360
P43005	361
P42574	362
P21554	363
Q15825	364
P68366	365
Q15822	366
O75762	367
P08473	368
Q9NRE1	369
Q8N543	370
P35520	371
P42684	372
P42685	373
P08183	374
Q05823	375
Q96HD9	376
P35680	377
P23458	378
P06858	379
Q8TD30	380
Q9Y3R4	381
Q13200	382
O75197	383
Q9H244	384
P23416	385
P23415	386
Q8NER1	387
P11230	388
O94956	389
Q8IVH4	390
Q14790	391
P30926	392
Q15759	393
Q15758	394
Q695T7	395
Q9GZR5	396
Q16790	397
O15427	398
Q9NY59	399
Q16795	400
P23771	401
Q9Y5R2	402
Q9UHI5	403
Q9UHI7	404
Q99542	405
Q96RP8	406
P14735	407
P61626	408
Q8NG66	409
Q9ULW8	410
Q12797	411
Q9NYX4	412
Q12791	413
P07327	414
P09917	415
P48067	416
P50052	417
P51580	418
Q03154	419
Q06432	420
P51587	421
P56282	422
P16471	423
P40261	424
Q53H12	425
P49638	426
Q13564	427
Q13562	428
P13569	429
P30542	430
P31639	431
Q9NZV8	432
O60488	433
P37288	434
P10721	435
Q9H2M3	436
P25024	437
P25021	438
Q96C36	439
Q6NS38	440
P04626	441
P43119	442
P04083	443
P04080	444
Q71U36	445
P05108	446
Q08493	447
Q9NZK7	448
Q9Y2Q3	449
Q9Y2Q0	450
Q08499	451
P05106	452
P05107	453
P37840	454
P17707	455
Q9Y620	456
O15297	457
Q96EY8	458
Q9NS18	459
P78417	460
P04181	461
P02652	462
Q9Y4U1	463
P43116	464
P55809	465
P53985	466
Q15031	467
O15164	468
P35346	469
Q9UQQ2	470
P01270	471
Q9UKV0	472
P35354	473
P60568	474
P08263	475
P24046	476
O76082	477
O95389	478
O43497	479
Q8TCT1	480
P01308	481
Q92569	482
Q9UI33	483
Q7KZN9	484
P48443	485
P52569	486
Q02388	487
P41145	488
Q7Z2E3	489
Q8IU80	490
Q7LG56	491
P54219	492
Q9H252	493
Q9H257	494
Q04721	495
Q8TED1	496
P41143	497
P30939	498
Q86YC2	499
P07998	500
P27539	501
P21817	502
P82251	503
P41180	504
P20815	505
P41439	506
O43570	507
Q02763	508
Q9NY47	509
Q9NY46	510
Q9NWM0	511
O75030	512
P07203	513
P07202	514
Q9ULX7	515
P07204	516
Q96RQ9	517
Q96RQ3	518
P29218	519
O94760	520
P40692	521
O15554	522
P36894	523
P36896	524
P21964	525
P15382	526
P19544	527
Q7Z2W7	528
P07333	529
P14410	530
P14416	531
P11177	532
P69891	533
P69892	534
Q9P0Z9	535
Q9NXE4	536
P47901	537
O14764	538
Q13427	539
P30559	540
P47871	541
P30556	542
P05023	543
O00238	544
P05026	545
Q9NSA0	546
Q9NP56	547
P29033	548
Q9P2R7	549
P31040	550
P05113	551
P09455	552
O76074	553
O00305	554
P21796	555
Q9UMX2	556
Q13951	557
Q9UMX1	558
Q13956	559
P49841	560
Q9H6X2	561
Q12951	562
P56696	563
Q9Y478	564
P32418	565
P23141	566
P25874	567
P51800	568
Q92887	569
P09210	570
P09211	571
O95907	572
P17658	573
O15375	574
O15374	575
O15379	576
P28161	577
Q9Y271	578
Q9Y277	579
Q07343	580
P22301	581
Q8TE23	582
P22303	583
P22309	584
O95954	585
P43115	586
P01266	587
P35611	588
P35610	589
P00797	590
O60733	591
P35348	592
P17812	593
Q92952	594
Q92953	595
Q86YB8	596
Q9BVG9	597
P32745	598
O43741	599
P14138	600
P22234	601
P04150	602
P26439	603
P04156	604
Q99816	605
P42357	606
Q9NS40	607
P14625	608
Q8NET8	609
Q02880	610
P23434	611
O75330	612
Q6NUM9	613
P54687	614
Q6N063	615
P21802	616
O95573	617
P07947	618
Q9BQB6	619
P09848	620
P07948	621
P07949	622
Q8IUZ5	623
P37023	624
Q13315	625
P11387	626
P11388	627
P17252	628
P16389	629
P36888	630
P13945	631
P11168	632
P11166	633
P11161	634
O60931	635
O60939	636
P11310	637
P10636	638
P49619	639
Q08828	640
O14717	641
Q9NR82	642
Q13547	643
Q32P28	644
P47869	645
P12236	646
P12235	647
P20226	648
Q9UP95	649
P24557	650
P59796	651
Q9ULC6	652
P05166	653
P05164	654
P05165	655
P10415	656
P55263	657
O60840	658
Q15303	659
P29317	660
Q96DW6	661
P00505	662
P35754	663
Q9UIF7	664
P51812	665
Q15466	666
Q9NQB0	667
P18545	668
P02787	669
Q9UM63	670
O00555	671
O15146	672
P07550	673
Q16832	674
P78504	675
P78508	676
P35372	677
P08243	678
P21589	679
Q92769	680
P02675	681
Q92947	682
P02679	683
P78527	684
Q9H2S1	685
P32754	686
O43772	687
O43776	688
P30825	689
Q92781	690
P52788	691
P15918	692
P05412	693
Q01196	694
P10398	695
Q8TET4	696
P42345	697
P05067	698
P02818	699
P62508	700
P05771	701
P12830	702
Q13093	703
P26358	704
P35408	705
Q8N119	706
P10082	707
P16066	708
O14965	709
P51606	710
Q14330	711
Q8N1C3	712
P07225	713
P49279	714
Q8IWU9	715
Q14697	716
P36507	717
Q16322	718
Q92753	719
P04424	720
Q92698	721
O60909	722
P10620	723
Q9NXG6	724
Q13555	725
P22455	726
P22459	727
Q9NR97	728
Q9NR96	729
P60900	730
P11021	731
P15056	732
P50336	733
P54577	734
Q15274	735
Q13882	736
O67135	737
P51795	738
Q8WTV0	739
P55017	740
P13995	741
P55011	742
P34903	743
Q9Y2R2	744
P52209	745
Q9NTQ9	746
Q02078	747
P30049	748
Q9BYF1	749
P30043	750
P30044	751
Q29974	752
P55789	753
P17752	754
P25103	755
P25100	756
P25101	757
P13196	758
Q9Y697	759
Q9Y691	760
P35968	761
Q9UKG9	762
Q07912	763
P28566	764
O00764	765
O15399	766
O00763	767
Q9UM73	768
P51170	769
Q92574	770
P51172	771
